1	Lieber	Liebe	N	NN	_|_|_	6	vok	_	_
2	Michael	Michael	N	NE	Masc|_|Sg	1	app	_	_
3	,	,	$,	$,	_	0	root	_	_
4	dein	deine	ART	PPOSAT	Masc|Nom|Sg	5	det	_	_
5	Brief	Brief	N	NN	Masc|Nom|Sg	6	subj	_	_
6	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	mich	ich	PRO	PPER	1|Sg|_|Acc	9	obja	_	_
8	sehr	sehr	ADV	ADV	_	9	adv	_	_
9	gefreut	freuen	V	VVPP	_	6	aux	_	_
10	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	sehr	sehr	ADV	ADV	_	4	adv	_	_
4	gut	gut	ADV	ADJD	Pos|	2	pred	_	_
5	.	.	$.	$.	_	0	root	_	_

1	Silvester	Silvester	N	NN	_|Acc|_	15	obja	_	_
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
4	zusammen	zusammen	ADV	ADV	_	5	adv	_	_
5	mit	mit	PREP	APPR	Dat	15	pp	_	_
6	meinem	meine	ART	PPOSAT	_|Dat|Sg	7	det	_	_
7	Freund	Freund	N	NN	_|Dat|Sg	5	pn	_	_
8	und	und	KON	KON	_	7	kon	_	_
9	seine	seine	ART	PPOSAT	_|_|Sg	11	det	_	_
10	schotische	schotisch	ADJA	ADJA	Pos|_|_|Sg|_|	11	attr	_	_
11	Band	Band	N	NN	_|_|Sg	8	cj	_	_
12	in	in	PREP	APPR	_	15	pp	_	_
13	Stadt	Stadt	N	NN	Fem|_|Sg	12	pn	_	_
14	X	X	CARD	CARD	_	13	app	_	_
15	gefeiert	feiern	V	VVPP	_	2	aux	_	_
16	.	.	$.	$.	_	0	root	_	_

1	Wir	wir	PRO	PPER	1|Pl|_|Nom	2	subj	_	_
2	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
3	gut	gut	ADV	ADJD	Pos|	4	adv	_	_
