1_1,Stadt X Liebe,Stadt N Fem|Dat|Sg,X N Fem|Dat|Sg,Liebe N _|Dat|Pl,"Stadt X , den 12.3.2012 Liebe Dana , Es ist schön , zu auf dich hören ."
1_2,Stadt X,Stadt N Fem|Dat|Sg,X N Fem|Dat|Sg,"Stadt X , den 12.3.2012 Liebe Dana , Es ist schön , zu auf dich hören ."
1_3,Stadt den Liebe Dana,Stadt N Fem|Dat|Sg,den ART Def|_|_|_,Liebe N _|Dat|Pl,Dana N _|Dat|Pl,"Stadt X , den 12.3.2012 Liebe Dana , Es ist schön , zu auf dich hören ."
1_4,Liebe Dana,Liebe N _|Dat|Pl,Dana N _|Dat|Pl,"Stadt X , den 12.3.2012 Liebe Dana , Es ist schön , zu auf dich hören ."
2_6,für deine bestandenen Prüfung,für PREP Acc,deine ART _|_|_,bestandenen ADJA Pos|_|Acc|Pl|Wk|,Prüfung N _|Acc|_,Herzlich Gluckwunsch für deine bestandenen Prüfung !
3_7,Auf jeden Fall,Auf PREP _,jeden ART Masc|_|Sg,Fall N Masc|_|Sg,"Auf jeden Fall , man braucht ein Urlaub nach viel lernen !"
3_8,ein Urlaub,ein ART Indef|Neut|Acc|Sg,Urlaub N Neut|Acc|Sg,"Auf jeden Fall , man braucht ein Urlaub nach viel lernen !"
4_9,über Verwandte,über PREP Acc,Verwandte N _|Acc|_,Ich verstehe was du meinst über Verwandte im Ausland leben .
4_10,im Ausland,im PREP Dat,Ausland N Neut|Dat|Sg,Ich verstehe was du meinst über Verwandte im Ausland leben .
5_11,zu meine Großeltern,zu PREP Dat,meine ART _|_|Pl,Großeltern N _|_|Pl,Es ist auch schön zu meine Großeltern in Irland besuchen .
5_12,in Irland,in PREP _,Irland N Neut|_|Sg,Es ist auch schön zu meine Großeltern in Irland besuchen .
6_13,Istanbul,Istanbul N Neut|Nom|Sg,Istanbul Klingt wie eine sehr interessante Stadt .
6_14,eine interessante Stadt,eine ART Indef|Fem|_|Sg,interessante ADJA Pos|Fem|_|Sg|_|,Stadt N Fem|_|Sg,Istanbul Klingt wie eine sehr interessante Stadt .
7_15,Veilleicht,Veilleicht N _|Dat|_,Veilleicht Kannst du für mir Donerbröt aus Istanbul mitbringen ?
7_16,Donerbröt,Donerbröt N _|_|_,Veilleicht Kannst du für mir Donerbröt aus Istanbul mitbringen ?
7_17,aus Istanbul,aus PREP Dat,Istanbul N Neut|Dat|Sg,Veilleicht Kannst du für mir Donerbröt aus Istanbul mitbringen ?
8_18,in Stadt,in PREP _,Stadt N Fem|_|Sg,Das ist echt schwer in Stadt X zu finden .
9_19,dein Onken,dein ART _|Nom|Sg,Onken N _|Nom|Sg,Wo genau wohnt dein Onken und deine Tante ?
9_20,deine Tante,deine ART Fem|Nom|Sg,Tante N Fem|Nom|Sg,Wo genau wohnt dein Onken und deine Tante ?
10_21,lust,lust N _|Nom|_,"Ich auch wäre lust habe , auf dich Rückkehr besuchen ."
10_22,Rückkehr,Rückkehr N Fem|Acc|Sg,"Ich auch wäre lust habe , auf dich Rückkehr besuchen ."
11_23,Viele Grüße Michael,Viele ART Masc|_|Pl,Grüße N Masc|_|Pl,Michael N Masc|_|Sg,Viele Grüße Michael
11_24,Grüße Michael,Grüße N Masc|_|Pl,Michael N Masc|_|Sg,Viele Grüße Michael
