1_1,Lieber Jens,Lieber N _|_|_,Jens N Masc|_|Sg,"Lieber Jens , Glückwünsche für dem neuem Baby ."
1_2,Lieber Jens Glückwünsche,Lieber N _|_|_,Jens N Masc|_|Sg,Glückwünsche N Masc|_|Pl,"Lieber Jens , Glückwünsche für dem neuem Baby ."
1_4,für dem neuem Baby,für PREP Acc,dem ART Def|Neut|Dat|Sg,neuem ADJA Pos|Neut|Dat|Sg|St|,Baby N Neut|Dat|Sg,"Lieber Jens , Glückwünsche für dem neuem Baby ."
2_5,ein Jünge,ein ART Indef|Neut|Acc|Sg,Jünge N Neut|Acc|Sg,Hast du ein Jünge oder ein Mädchen ?
2_6,ein Mädchen,ein ART Indef|Neut|Acc|Sg,Mädchen N Neut|Acc|Sg,Hast du ein Jünge oder ein Mädchen ?
3_7,dein Baby,dein ART Neut|Nom|Sg,Baby N Neut|Nom|Sg,Wie heiße dein Baby ?
4_8,deine Frau,deine ART Fem|Nom|Sg,Frau N Fem|Nom|Sg,Wie geht es deine Frau und dein Baby ?
4_9,dein Baby,dein ART Neut|Nom|Sg,Baby N Neut|Nom|Sg,Wie geht es deine Frau und dein Baby ?
7_10,Viel Glück Eva,Viel ART Neut|_|Sg,Glück N Neut|_|Sg,Eva N _|_|Sg,"Viel Glück , Eva Winkelmann"
7_11,Glück Eva Winkelmann,Glück N Neut|_|Sg,Eva N _|_|Sg,Winkelmann N _|_|Sg,"Viel Glück , Eva Winkelmann"
7_12,Eva Winkelmann,Eva N _|_|Sg,Winkelmann N _|_|Sg,"Viel Glück , Eva Winkelmann"
