1	Lieber	Liebe	N	NN	_|_|_	5	vok	_	_
2	Michael	Michael	N	NE	Masc|_|Sg	1	app	_	_
3	,	,	$,	$,	_	0	root	_	_
4	ich	ich	PRO	PPER	1|Sg|_|Nom	5	subj	_	_
5	freue	freuen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
6	mich	ich	PRO	PRF	1|Sg|Acc	5	obja	_	_
7	auf	auf	PREP	APPR	_	5	pp	_	_
8	deinen	deine	ART	PPOSAT	Masc|_|Sg	10	det	_	_
9	netten	nett	ADJA	ADJA	Pos|Masc|_|Sg|_|	10	attr	_	_
10	Brief	Brief	N	NN	Masc|_|Sg	7	pn	_	_
11	.	.	$.	$.	_	0	root	_	_

1	Noch	noch	ADV	ADV	_	2	adv	_	_
2	mal	mal	ADV	ADV	_	3	adv	_	_
3	wünche	wünche	V	VVFIN	1|Sg|_|_	0	root	_	_
4	ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	_
5	dir	du	PRO	PPER	2|Sg|_|Dat	3	objd	_	_
6	alles	alle	ART	PIDAT	Neut|Acc|Sg	7	det	_	_
7	Gute	Gut	N	NN	Neut|Acc|Sg	3	obja	_	_
8	.	.	$.	$.	_	0	root	_	_

1	Am	an	PREP	APPRART	Dat	0	root	_	_
2	Silvesternach	Silvesternach	N	NN	_|Dat|_	1	pn	_	_
3	,	,	$,	$,	_	0	root	_	_
4	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
5	ich	ich	PRO	PPER	1|Sg|_|Nom	4	subj	_	_
6	mit	mit	PREP	APPR	Dat	4	pp	_	_
7	meinem	meine	ART	PPOSAT	Masc|Dat|Sg	8	det	_	_
8	Mann	Mann	N	NN	Masc|Dat|Sg	6	pn	_	_
9	und	und	KON	KON	_	6	kon	_	_
10	mit	mit	PREP	APPR	Dat	9	cj	_	_
11	meiner	meine	ART	PPOSAT	Fem|Dat|Sg	12	det	_	_
12	Tochter	Tochter	N	NN	Fem|Dat|Sg	10	pn	_	_
13	zu	zu	PREP	APPR	Dat	4	pp	_	_
14	Hause	Haus	N	NN	Neut|Dat|Sg	13	pn	_	_
15	,	,	$,	$,	_	0	root	_	_
