1	Liebe	lieb	ADJA	ADJA	Pos|Fem|_|Sg|_|	2	attr	_	_
2	Katharina	Katharina	N	NN	Fem|_|Sg	0	root	_	_
3	,	,	$,	$,	_	0	root	_	_
4	wie	wie	PWAV	PWAV	_	5	pred	_	_
5	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	2	objc	_	_
6	es	es	PRO	PPER	3|Sg|Neut|Nom	5	subj	_	_
7	dir	du	PRO	PPER	2|Sg|_|Dat	5	objd	_	_
8	?	?	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	0	root	_	_
2	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	gut	gut	ADV	ADJD	Pos|	2	pred	_	_
5	.	.	$.	$.	_	0	root	_	_

1	Diese	diese	ART	PDAT	_|_|_	0	root	_	_
2	wochende	wochende	N	NN	_|Dat|_	3	objd	_	_
3	gehe	gehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	_
5	um	um	PREP	APPR	_	4	pp	_	_
6	urlaub	urlaub	N	NE	_|_|_	5	pn	_	_
7	in	in	PREP	APPR	_	3	pp	_	_
8	Spanien	Spanien	N	NE	Neut|_|Sg	7	pn	_	_
9	.	.	$.	$.	_	0	root	_	_

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	_
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	ein	eine	ART	ART	Indef|Neut|Acc|Sg	4	det	_	_
4	Klein	Klein	N	NE	Neut|Acc|Sg	2	obja	_	_
5	problem	problem	N	NE	Neut|Acc|Sg	4	app	_	_
6	.	.	$.	$.	_	0	root	_	_

1	Mein	meine	ART	PPOSAT	_|Nom|Sg	2	det	_	_
2	hund	hund	N	NN	_|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	alliene	alliene	ADV	ADJD	_	6	adv	_	_
5	zu	zu	PTKZU	PTKZU	_	6	part	_	_
6	hause	hause	V	VVINF	_	3	aux	_	_
7	.	.	$.	$.	_	0	root	_	_

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	wunderschon	wunderschon	ADV	ADJD	_	2	pred	_	_
4	wenn	wenn	KOUS	KOUS	_	7	konj	_	_
5	mein	meine	ART	PPOSAT	_|Nom|Sg	6	det	_	_
6	hund	hund	N	NN	_|Nom|Sg	7	subj	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	neb	_	_
8	mit	mit	PREP	APPR	Dat	7	pp	_	_
9	da	da	ADV	ADV	_	8	adv	_	_
10	in	in	PREP	APPR	Acc	7	pp	_	_
